
ORIGIN,Description,Sum(PASSENGERS)
"ECP","Panama City, FL: Northwest Florida Beaches International",278970
"EDA","Edna Bay, AK: Edna Bay Airport",129
"EDF","Anchorage, AK: Elmendorf AFB",324
"EEK","Eek, AK: Eek Airport",1752
"EEN","Keene, NH: Dillant Hopkins",43
"EFD","Houston, TX: Ellington",189
"EFK","Newport, VT: Newport State",4
"EGE","Eagle, CO: Eagle County Regional",118366
"EGX","Egegik, AK: Egegik Airport",606
"EHM","Cape Newenham, AK: Cape Newenham LRRS",40
"EIL","Fairbanks, AK: Eielson AFB",632
"EKA","Eureka, CA: Murray Field",0
"EKO","Elko, NV: Elko Regional",9529
"EKX","Elizabethtown, KY: Addington Field",0
"ELD","El Dorado, AR: South Arkansas Regional at Goodwin Field",291
"ELI","Elim, AK: Elim Airport",1427
"ELM","Elmira/Corning, NY: Elmira/Corning Regional",75811
"ELN","Ellensburg, WA: Bowers Field",0
"ELP","El Paso, TX: El Paso International",812790
"ELV","Elfin Cove, AK: Elfin Cove Seaplane Base",390
"EMK","Emmonak, AK: Emmonak Airport",4389
"ENA","Kenai, AK: Kenai Municipal",52576
"ENN","Nenana, AK: Nenana Municipal",4
"ENV","Wendover, UT: Wendover Airport",27587
"ENW","Kenosha, WI: Kenosha Regional",25
"ERI","Erie, PA: Erie International/Tom Ridge Field",52339
"ERV","Kerrville, TX: Kerrville Municipal/Louis Schreiner Field",36
"ESC","Escanaba, MI: Delta County",8751
"ESD","Eastsound, WA: Orcas Island",3644
"ESN","Easton, MD: Easton/Newnam Field",14
"EUG","Eugene, OR: Mahlon Sweet Field",286982
"EVV","Evansville, IN: Evansville Regional",122717
"EWB","New Bedford/Fall River, MA: New Bedford Regional",2999
"EWN","New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",61753
"EWR","Newark, NJ: Newark Liberty International",8754436
"EXI","Excursion Inlet, AK: Excursion Inlet Seaplane Base",158
"EYW","Key West, FL: Key West International",272557
"F70","Murrieta/Temecula, CA: French Valley",12
"FAI","Fairbanks, AK: Fairbanks International",306366
"FAR","Fargo, ND: Hector International",238623
"FAT","Fresno, CA: Fresno Yosemite International",369589
"FAY","Fayetteville, NC: Fayetteville Regional/Grannis Field",136703
"FBK","Fairbanks, AK: Ladd AAF",40
"FBS","Friday Harbor, WA: Friday Harbor Seaplane Base",83
"FCA","Kalispell, MT: Glacier Park International",148080
"FDK","Frederick, MD: Frederick Municipal",8
"FET","Fremont, NE: Fremont Municipal",0
"FID","Fishers Island, NY: Elizabeth Field",103
"FKL","Franklin/Oil City, PA: Venango Regional",777
"FLG","Flagstaff, AZ: Flagstaff Pulliam",38390
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",7575652
"FLO","Florence, SC: Florence Regional",25112
"FLT","Flat, AK: Flat Airport",3
"FME","Fort Meade, MD: Tipton",1
"FMN","Farmington, NM: Four Corners Regional",2317
"FMY","Fort Myers, FL: Page Field",13
"FNL","Fort Collins/Loveland, CO: Fort Collins-Loveland Municipal",716
"FNR","Funter Bay Alaska, AK: Funter Bay",10
"FNT","Flint, MI: Bishop International",225851
"FOD","Fort Dodge, IA: Fort Dodge Regional",4025
"FOE","Topeka, KS: Topeka Regional",1525
"FOK","Westhampton, NY: Francis S. Gabreski",96
"FPR","Fort Pierce, FL: Treasure Coast International",35
"FQW","Fort Glenn, AK: Fort Glenn Airport",1
"FRD","Friday Harbor, WA: Friday Harbor Airport",5240
"FRG","East Farmingdale, NY: Republic",660
"FRY","Fryeburg, ME: Eastern Slopes Regional",2
"FSD","Sioux Falls, SD: Joe Foss Field",310044
"FSM","Fort Smith, AR: Fort Smith Regional",50189
"FTW","Dallas/Fort Worth, TX: Fort Worth Meacham International",109
"FTY","Atlanta, GA: Fulton County Airport-Brown Field",7
"FWA","Fort Wayne, IN: Fort Wayne International",210870
"FXE","Fort Lauderdale, FL: Fort Lauderdale Executive",35
"FYU","Fort Yukon, AK: Fort Yukon Airport",3817
"FYV","Fayetteville, AR: Drake Field",303
"GAD","Gadsden, AL: Northeast Alabama Regional",0
"GAI","Gaithersburg, MD: Montgomery County Airpark",7
"GAL","Galena, AK: Edward G. Pitka Sr.",5550
"GAM","Gambell, AK: Gambell Airport",2069
"GBH","Galbraith Lake, AK: Galbraith Lake Airport",491
"GCC","Gillette, WY: Gillette Campbell County",17449
"GCK","Garden City, KS: Garden City Regional",15752
"GCN","Grand Canyon, AZ: Grand Canyon National Park",57266
"GDC","Greenville, SC: Donaldson Field",0
"GDV","Glendive, MT: Dawson Community",1241
"GED","Georgetown, DE: Delaware Coastal",5
"GEG","Spokane, WA: Spokane International",947409
"GEK","Ganes Creek, AK: Ganes Creek Airport",3
"GFK","Grand Forks, ND: Grand Forks International",68800
"GFL","Glens Falls, NY: Floyd Bennett Memorial",10
"GGG","Longview, TX: East Texas Regional",11514
"GGW","Glasgow, MT: Wokal Field/Glasgow International",1901
"GJT","Grand Junction, CO: Grand Junction Regional",129721
"GKN","Gulkana, AK: Gulkana Airport",100
"GLH","Greenville, MS: Greenville Mid Delta",3073
"GLV","Golovin, AK: Golovin Airport",1185
"GMU","Greenville, SC: Greenville Downtown",5
"GNU","Goodnews Bay, AK: Goodnews",614
"GNV","Gainesville, FL: Gainesville Regional",124056
"GON","New London/Groton, CT: Groton-New London",4
"GPT","Gulfport/Biloxi, MS: Gulfport-Biloxi International",183893
"GRB","Green Bay, WI: Green Bay Austin Straubel International",157273
"GRI","Grand Island, NE: Central Nebraska Regional",38887
"GRK","Killeen, TX: Robert Gray AAF",75623
"GRR","Grand Rapids, MI: Gerald R. Ford International",816826
"GSO","Greensboro/High Point, NC: Piedmont Triad International",485449
"GSP","Greer, SC: Greenville-Spartanburg International",579556
"GST","Gustavus, AK: Gustavus Airport",6023
"GTF","Great Falls, MT: Great Falls International",97718
"GTR","Columbus, MS: Golden Triangle Regional",23255
"GUC","Gunnison, CO: Gunnison-Crested Butte Regional",22025
"GUF","Gulf Shores, AL: Jack Edwards",15
"GUM","Guam, TT: Guam International",96964
"GUP","Gallup, NM: Gallup Municipal",0
"GVQ","Batavia, NY: Genesee County",2
"GYR","Goodyear, AZ: Phoenix Goodyear",2
"GYY","Gary, IN: Gary/Chicago International",206
"HCR","Holy Cross, AK: Holy Cross Airport",780
"HDN","Hayden, CO: Yampa Valley",74787
"HGR","Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",16636
"HGZ","Hogatza, AK: Hogatza Airport",4
"HHH","Hilton Head, SC: Hilton Head Airport",17089
"HHR","Hawthorne, CA: Jack Northrop Field/Hawthorne Municipal",12
"HIB","Hibbing, MN: Range Regional",8416
"HIE","Whitefield, NH: Mount Washington Regional",3
"HII","Lake Havasu City, AZ: Lake Havasu City Airport",0
"HIK","Honolulu, HI: Daniel K Inouye International",0
"HIO","Hillsboro, OR: Portland Hillsboro",3
"HKB","Healy, AK: Healy River",59
"HKY","Hickory, NC: Hickory Regional",0
"HLM","Holland, MI: Park Township",2
"HLN","Helena, MT: Helena Regional",57241
