
ORIGIN,Description,Sum(PASSENGERS)
"VNY","Van Nuys, CA: Van Nuys Airport",334
"VPS","Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",327538
"VQS","Vieques, PR: Antonio Rivera Rodriguez",44045
"VRB","Vero Beach, FL: Vero Beach Municipal",5366
"VT1","West Dover, VT: Deerfield Valley Regional",9
"VWD","Hanford, CA: Hanford Municipal",0
"VWK","Saratoga Springs, NY: Saratoga County",6
"VWS","Wichita, KS: Colonel James Jabara",3
"VZY","Katmai Lodge, AK: Katmai Lodge Airport",67
"WA1","Camp Orkila Eastsound, WA: Camp Orkila Seaplane Base",6
"WA3","Shaw Island, WA: Shaw Islands Water Aerodrome",1
"WA6","Stehekin, WA: Stehekin Seaplane Landing",0
"WA7","Chelan, WA: Chelan Seaplane Landing",0
"WAA","Wales, AK: Wales Airport",666
"WBB","Stebbins, AK: Stebbins Airport",1528
"WBQ","Beaver, AK: Beaver Airport",488
"WCR","Chandalar, AK: Chandalar Lake",5
"WFB","Ketchikan, AK: Ketchikan Waterfront Seaplane Base",27036
"WHD","Hyder, AK: Hyder Seaplane Base",72
"WI3","Ehpriam, WI: Ephraim Gibralter",5
"WKK","Aleknagik, AK: Aleknagik New",0
"WLK","Selawik, AK: Selawik Airport",2883
"WMK","Meyers Chuck, AK: Meyers Chuck Seaplane Base",42
"WMO","White Mountain, AK: White Mountain Airport",1088
"WNA","Napakiak, AK: Napakiak Airport",579
"WRG","Wrangell, AK: Wrangell Airport",7079
"WRI","Fort Dix, NJ: McGuire Field",0
"WSN","South Naknek, AK: South Naknek 2",48
"WST","Westerly, RI: Westerly State",9009
"WSX","Westsound, WA: Westsound Airport",0
"WTK","Noatak, AK: Noatak Airport",2552
"WTL","Tuntutuliak, AK: Tuntutuliak Airport",2137
"WVL","Augusta/Waterville, ME: Waterville Robert Lafleur",5
"WWA","Wasilla, AK: Wasilla Airport",8
"WWP","Whale Pass, AK: Whale Pass Airport",24
"WWT","Newtok, AK: Newtok Airport",1610
"WYS","West Yellowstone, MT: Yellowstone",4503
"XNA","Fayetteville, AR: Northwest Arkansas Regional",401307
"XWA","Granite Point, AK: Granite Point Ndb",22
"XXP","Lakeport, CA: Lampson Field",0
"YAK","Yakutat, AK: Yakutat Airport",5379
"YIP","Detroit, MI: Willow Run",1096
"YKM","Yakima, WA: Yakima Air Terminal/McAllister Field",41638
"YNG","Youngstown/Warren, OH: Youngstown-Warren Regional",22128
"YUM","Yuma, AZ: Yuma MCAS/Yuma International",44456
"ZNC","Nyac, AK: Nyac Airport",7
"ZXF","Illinois Creek, AK: Illinois Creek Airport",11
"ZXH","Chomondely Sound, AK: Chomondely Sound Airport",8
"ZXM","Saltery Cove, AK: Saltery Cove Airport",408
"ZXN","Clover Bay, AK: Clover Bay Airport",204
"ZXU","North Kingstown, RI: Quonset State",4
"ZZV","Zanesville, OH: Zanesville Municipal",3
"All Rows","All Rows (including those not displayed)",430903737
