AIRPORT_ID,Code,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10248,AKR,Akure Airport,7.25833333,5.30416667
10249,AKS,Auki Airport,-8.69777778,160.6808333
10249,AKS,Auki Gwaunaru University,-8.7025,160.6816667
10250,AKT,Akrotiri Airport,34.59027778,32.9875
10251,AKX,Aktyubinsk Airport,50.25,57.21666667
10252,AKY,Akyab Airport,20.13027778,92.88027778
10252,AKY,Sittwe Airport,20.13027778,92.88027778
10253,AL1,Albertville Regional-Thomas J Brumlik Field,34.22916667,-86.25583333
10254,AL2,Shelby County,33.17694444,-86.78277778
10255,AL3,Madison County Executive/Tom Sharp Jr. Field,34.86138889,-86.5575
10255,AL3,Huntsville Executive Airport Tom Sharp Jr,34.85944444,-86.5575
10256,ALA,Alma-Ata Airport,43.35,77.03333333
10256,ALA,Almaty Airport,43.35,77.03333333
10257,ALB,Albany International,42.74583333,-73.80527778
10258,ALC,Alicante Airport,38.2825,-0.55833333
10258,ALC,Alicante Elche,38.28222222,-0.55805556
10259,ALE,Alpine Casparis Municipal,30.38416667,-103.6830556
10260,ALF,Alta Airport,69.97611111,23.38055556
10261,ALG,Houari Boumediene,36.69333333,3.21722222
10262,ALH,Albany Airport,-34.945,117.8058333
10263,ALI,Alice International,27.74083333,-98.02722222
10264,ALJ,Alexander Bay Airport,-28.56722222,16.53638889
10265,ALK,Asela Airport,7.58333333,39.06666667
10266,ALM,Alamogordo White Sands Regional,32.83972222,-105.99
10267,ALN,St. Louis Regional,38.89166667,-90.04833333
10268,ALO,Waterloo Regional,42.55611111,-92.39972222
10269,ALP,Neirab,36.18083333,37.22666667
10269,ALP,Aleppo International,36.18055556,37.22444444
10270,ALQ,Alegrete Airport,-29.79972222,-55.76333333
10271,ALR,Alexandra Airport,-45.21388889,169.3694444
10272,ALS,Alamosa Municipal,37.43666667,-105.8666667
10272,ALS,San Luis Valley Regional/Bergman Field,37.435,-105.8666667
10273,ALT,Alenquer Airport,-1.94055556,-54.74027778
10274,ALU,Alula Airport,11.98333333,50.78333333
10275,ALW,Walla Walla Regional,46.09472222,-118.2911111
10276,ALX,Thomas C. Russell Field,32.91666667,-85.96666667
10277,ALY,Alexandria International,31.18777778,29.94805556
10278,ALZ,Alitak Seaplane Base,56.89583333,-154.2458333
10279,AMA,Amarillo International,35.22722222,-101.7219444
10279,AMA,Rick Husband Amarillo International,35.22722222,-101.7219444
10280,AMD,Ahmedabad Airport,23.06638889,72.62416667
